player_id,first_name,last_name,birthdate,height,weight,position,jersey,team_id
101,Nikola,Karabatic,1984-04-11,1.91,100,Left Back,13,201
102,Dika,Mem,1998-02-05,1.90,87,Right Wing,21,201
103,Luc,Abalo,1984-11-06,1.86,82,Right Wing,11,201
104,Vincent,Gérard,1988-01-19,1.89,87,Goalkeeper,1,201
105,Ludovic,Fabregas,1996-03-04,1.87,93,Pivot,19,201
201,Mikkel,Hansen,1987-10-22,1.96,101,Left Back,24,202
202,Lasse,Andersson,1995-10-21,1.90,88,Centre Back,7,202
203,Niklas,Landin,1988-04-04,2.00,98,Goalkeeper,16,202
204,Magnus,Saugstrup,1994-11-06,2.07,115,Pivot,32,202
205,Simon,Pytlick,2001-06-05,1.88,84,Right Wing,9,202
301,Sagosen,Sander,1996-05-17,1.98,100,Centre Back,10,203
302,Bjarte,Myrhol,1983-09-16,1.92,105,Pivot,9,203
303,Torbjørn,Bergerud,1992-05-07,1.95,90,Goalkeeper,12,203
304,Harald,Reinkind,1992-09-15,1.89,87,Right Wing,17,203
305,Magnus,Abelvik Rød,1999-06-12,1.90,83,Left Wing,5,203
401,Alex,Dujshebaev,1992-08-29,1.92,95,Right Back,14,204
402,Raúl,Entrerríos,1982-10-22,1.90,90,Centre Back,21,204
403,Gonzalo,Pérez de Vargas,1994-03-08,1.95,93,Goalkeeper,25,204
404,Rodrigo,Corrales,1991-04-16,1.87,80,Goalkeeper,1,204
405,Timothey,N'Guessan,1992-09-07,1.89,95,Pivot,11,204
501,Domagoj,Duvnjak,1988-10-21,1.97,100,Centre Back,97,205
502,Ivan,Slišković,1997-07-14,1.93,90,Left Wing,27,205
503,Dominik,Kuzmanović,1992-02-12,1.90,88,Right Wing,22,205
504,Mirko,Alilović,1985-04-03,1.94,88,Goalkeeper,1,205
505,Manuel,Štrlek,1990-10-24,1.87,85,Right Back,15,205
